
libgcj -vs- Classpath
- GNU Project - Free Software Foundation (FSF)
libgcj -vs- Classpath
This page compares the "current" cvs libgcj against the "current"
cvs Classpath. It was generated using the gen-classpath-compare
script on
2002-06-18.
This table intentionally omits certain classes which are not of
interest. If the third column shows a "Diff" link, then that means
the script believes that the class has been merged, but a difference
has been reintroduced. Note that such differences cannot be
automatically merged. Any merging must be done manually; some
differences are currently required.
Class libgcj Classpath Merge Status 
 java.applet.AppletContext Yes Yes Diff 
 java.applet.Applet Yes Yes Diff 
 java.applet.AppletStub Yes Yes Diff 
 java.applet.AudioClip Yes Yes Diff 
 java.awt.ActiveEvent Yes Yes Diff 
 java.awt.Adjustable Yes Yes Diff 
 java.awt.AlphaComposite No Yes No 
 java.awt.AttributeValue No Yes No 
 java.awt.AWTError Yes Yes Diff 
 java.awt.AWTEvent Yes Yes Diff 
 java.awt.AWTEventMulticaster Yes Yes Diff 
 java.awt.AWTException Yes Yes Diff 
 java.awt.AWTKeyStroke No Yes No 
 java.awt.AWTPermission Yes Yes Diff 
 java.awt.BasicStroke No Yes No 
 java.awt.BorderLayout Yes Yes Diff 
 java.awt.BufferCapabilities No Yes No 
 java.awt.Button Yes Yes Diff 
 java.awt.Choice Yes Yes Diff 
 java.awt.color.CMMException No Yes No 
 java.awt.Color Yes Yes Diff 
 java.awt.ColorPaintContext No Yes No 
 java.awt.color.ProfileDataException No Yes No 
 java.awt.Component Yes Yes Diff 
 java.awt.ComponentOrientation Yes Yes Diff 
 java.awt.CompositeContext No Yes No 
 java.awt.Composite No Yes No 
 java.awt.Container Yes Yes Diff 
 java.awt.ContainerOrderFocusTraversalPolicy No Yes No 
 java.awt.datatransfer.FlavorTable No Yes No 
 java.awt.datatransfer.MimeTypeParseException Yes Yes Diff 
 java.awt.datatransfer.Transferable Yes Yes Diff 
 java.awt.datatransfer.UnsupportedFlavorException Yes Yes Diff 
 java.awt.DefaultFocusTraversalPolicy No Yes No 
 java.awt.DefaultKeyboardFocusManager No Yes No 
 java.awt.Dimension Yes Yes Diff 
 java.awt.DisplayMode No Yes No 
 java.awt.dnd.AutoScroll Yes No No 
 java.awt.dnd.DnDConstants No Yes No 
 java.awt.dnd.DragGestureEvent Yes Yes No 
 java.awt.dnd.DragGestureListener Yes Yes No 
 java.awt.dnd.DragGestureRecognizer No Yes No 
 java.awt.dnd.DragSourceAdapter No Yes No 
 java.awt.dnd.DragSourceContext No Yes No 
